iter	RMSE
0	64.88918342
1	63.4377541
2	62.99814221
3	61.33539641
4	59.50200432
5	58.41541962
6	57.24029179
7	56.15209018
8	55.55229006
9	55.08241609
10	54.01806359
11	53.71544778
12	53.4248052
13	52.25230557
14	50.87612957
15	50.45028176
16	49.50864916
17	48.64857153
18	48.06078819
19	47.20897491
20	46.40488129
21	45.78414002
22	45.57366057
23	44.8388342
24	44.63949548
25	43.62250194
26	42.66144502
27	42.45846814
28	41.92293297
29	41.32628773
30	41.08857596
31	40.47936525
32	39.9256357
33	39.36015557
34	38.72591738
35	38.22817373
36	37.74064154
37	37.28202499
38	37.12083831
39	36.6835026
40	36.50167419
41	36.07346413
42	35.65397329
43	35.22866593
44	34.84441949
45	34.69740811
46	34.38352216
47	33.95871213
48	33.59673893
49	33.24004917
50	32.79525435
51	32.48667106
52	32.10197387
53	31.97594986
54	31.60839421
55	31.31543652
56	31.05542474
57	30.7185404
58	30.57935291
59	30.19036398
60	29.8380923
61	29.49957796
62	29.08737339
63	28.72028506
64	28.42501705
65	27.95763087
66	27.62465098
67	27.41399857
68	27.14762433
69	26.89169354
70	26.67285462
71	26.48910179
72	26.3003823
73	26.06780421
74	25.84448921
75	25.6863811
76	25.33377745
77	25.25687762
78	25.05282693
79	24.98413399
80	24.6467521
81	24.45606506
82	24.27307898
83	24.09749049
84	23.92900689
85	23.76734592
86	23.61223546
87	23.46341326
88	23.32062667
89	23.18363239
90	23.05219618
91	22.92609261
92	22.80510478
93	22.75547744
94	22.57394638
95	22.45796282
96	22.34672383
97	22.30296066
98	22.19685488
99	22.09509016
100	21.99748585
101	21.95789388
102	21.87649323
103	21.83147438
104	21.79776518
105	21.7551909
106	21.66225051
107	21.45673831
108	21.22628281
109	21.13656049
110	21.05049504
111	20.83319299
112	20.57520229
113	20.50980954
114	20.44758646
115	20.26406543
116	20.18223603
117	20.13203919
118	20.07689622
119	20.01618725
120	19.96605875
121	19.91072084
122	19.8851906
123	19.69083897
124	19.39689057
125	19.3236174
126	19.29929656
127	19.21609328
128	19.14814091
129	19.12515315
130	18.94184209
131	18.7667357
132	18.68765822
133	18.59399519
134	18.53267771
135	18.47394211
136	18.34523043
137	18.30553843
138	18.29007396
139	18.25235835
140	18.19548475
141	17.95445866
142	17.87639262
143	17.80202141
144	17.73112938
145	17.66351577
146	17.42730388
147	17.39726434
148	17.21151854
149	17.0346937
150	17.01929823
151	17.00460081
152	16.83902558
153	16.81143501
154	16.65431968
155	16.64231197
156	16.61483284
157	16.57145666
158	16.54529542
159	16.52016073
160	16.31871133
161	16.07276128
162	16.0607306
163	16.04835339
164	15.9116736
165	15.67971155
166	15.66820733
167	15.54076697
168	15.32253494
169	15.11568949
170	14.91971478
171	14.80378977
172	14.79290995
173	14.53933877
174	14.42087093
175	14.30880074
176	14.20279368
177	13.963253
178	13.73191712
179	13.50690916
180	13.38709348
181	13.16644078
182	13.05320262
183	12.96757907
184	12.75606226
185	12.67486488
186	12.64513626
187	12.44485815
188	12.25000659
189	12.15770399
190	11.96098955
191	11.9320707
192	11.74327058
193	11.60957432
194	11.48253134
195	11.40008531
196	11.37121788
197	11.32655481
198	11.28388962
199	11.1043489
