iter	Passed	Remaining
0	60	30296
1	61	15239
2	62	10363
3	62	7775
4	63	6303
5	64	5328
6	64	4572
7	65	4051
8	66	3624
9	66	3265
10	67	2978
11	67	2732
12	68	2559
13	68	2375
14	68	2217
15	68	2076
16	68	1954
17	68	1845
18	69	1747
19	69	1658
20	69	1580
21	69	1506
22	70	1460
23	70	1400
24	70	1344
25	70	1291
26	71	1244
27	71	1211
28	72	1169
29	72	1130
30	72	1093
31	72	1059
32	72	1027
33	72	996
34	72	969
35	73	941
36	73	916
37	73	893
38	74	878
39	74	857
40	74	836
41	74	816
42	75	797
43	75	781
44	75	766
45	76	751
46	76	736
47	76	724
48	77	709
49	77	695
50	77	682
51	77	669
52	77	656
53	78	644
54	78	632
55	78	622
56	79	618
57	79	607
58	80	598
59	80	587
60	80	577
61	80	567
62	80	558
63	80	550
64	80	541
65	81	534
66	81	526
67	81	518
68	81	510
69	81	502
70	81	495
71	82	487
72	82	481
73	82	474
74	83	471
75	83	465
76	83	459
77	83	453
78	84	449
79	84	443
80	84	439
81	85	433
82	85	428
83	85	423
84	85	418
85	85	413
86	86	409
87	87	407
88	87	403
89	87	399
90	89	400
91	89	395
92	89	390
93	89	386
94	89	382
95	89	378
96	90	374
97	90	370
98	91	369
99	91	365
100	91	361
101	91	358
102	92	354
103	92	351
104	92	347
105	92	343
106	92	340
107	92	337
108	93	333
109	93	330
110	93	327
111	93	324
112	94	321
113	94	319
114	94	316
115	94	313
116	94	310
117	95	307
118	95	304
119	95	301
120	95	299
121	95	296
122	96	294
123	96	291
124	96	289
125	96	286
126	96	284
127	97	282
128	97	280
129	97	278
130	98	276
131	98	274
132	98	272
133	98	270
134	99	267
135	99	265
136	99	264
137	100	262
138	100	261
139	101	259
140	101	257
141	101	255
142	101	253
143	101	252
144	102	250
145	102	248
146	102	246
147	103	245
148	103	243
149	103	241
150	103	239
151	104	238
152	104	236
153	104	234
154	104	232
155	104	231
156	104	229
157	105	227
158	105	225
159	105	224
160	105	222
161	105	221
162	106	219
163	106	217
164	106	216
165	106	214
166	107	213
167	107	212
168	107	210
169	107	209
170	107	207
171	108	206
172	108	204
173	108	203
174	108	201
175	108	200
176	109	199
177	109	197
178	109	196
179	109	195
180	110	193
181	110	192
182	110	191
183	110	190
184	111	189
185	111	188
186	111	187
187	111	185
188	112	184
189	112	183
190	112	182
191	112	181
192	113	179
193	113	178
194	113	177
195	113	176
196	114	175
197	115	175
198	115	174
199	115	173
200	115	172
201	116	171
202	116	170
203	116	169
204	116	167
205	116	166
206	117	165
207	117	164
208	117	163
209	117	162
210	117	161
211	117	160
212	118	159
213	118	158
214	118	157
215	118	156
216	119	155
217	119	154
218	119	153
219	119	152
220	119	151
221	120	150
222	120	149
223	120	148
224	120	147
225	120	146
226	121	145
227	121	144
228	121	143
229	121	142
230	121	141
231	121	140
232	122	139
233	122	138
234	122	138
235	122	137
236	122	136
237	123	135
238	123	134
239	123	133
240	123	133
241	124	132
242	124	131
243	125	131
244	125	130
245	125	129
246	125	128
247	125	128
248	126	127
249	126	126
250	126	125
251	126	124
252	127	124
253	127	123
254	127	122
255	127	121
256	128	121
257	128	120
258	128	119
259	128	118
260	128	118
261	129	117
262	129	116
263	129	115
264	129	114
265	129	114
266	130	113
267	130	113
268	131	112
269	131	111
270	131	111
271	131	110
272	131	109
273	132	109
274	132	108
275	132	107
276	132	106
277	133	106
278	133	105
279	133	104
280	133	104
281	133	103
282	134	102
283	134	102
284	134	101
285	134	100
286	135	100
287	135	100
288	136	99
289	136	98
290	136	98
291	136	97
292	136	96
293	137	96
294	137	95
295	137	94
296	137	94
297	137	93
298	138	92
299	138	92
300	138	91
301	138	90
